Energy_source,unit,weight_in_kg,kwh_per_unit,co2kg_per_unit,co2kg_per_kwh
Affald,ton,"1,000","2,917.00",,
"Brænde, Klv.",Kløvet og stablet rummeter,ca. 550,"2,200.00",,
"Brænde, Skr.",Skov rummeter,ca. 430,"1,700.00",,
"Brænde, Rm.",Kasse rummeter,ca. 250,"1,200.00",,
Træpiller,m3,660,"3,208.00",,
Træpiller,ton,"1,000","4,861.00",,
Træ flis,m3,250,780,,
Træ flis,ton,"1,000","2,600.00",,
Halm,m3,125,503,,
Halm,ton,"1,000","4,028.00",,
Halmpiller,ton,"1,000","4,440.00",,
Fuelolie,kg,1,11.3,3.173,0.281
Fuelolie,liter,0.98,11.1,3.117,0.281
Fyringsgasolie,kg,1,11.9,3.17,0.266
Fyringsgasolie,liter,0.85,10.1,2.691,0.266
Naturgas,m3,0.84,11,2.245,0.204
Bygas,m3,0.76,5.9,1.204,0.204
Biogas,m3,-,6.39,,
LPG (flydende flaskegas),ton,"1,000","12,800.00","2,995.18",0.234
Petroleum,ton,"1,000","12,080.00","3,131.11",0.259
Petroleum,liter,0.8,9.7,2.514,0.259
Koks,ton,"1,000","8,140.00","3,164.81",0.389
Koks,Hl,40,224,87.091,0.389
Kul (stenkul),ton,"1,000","7,360.00",,
Fjernvarme,m3,-,40.6,,
Fjernvarme,kWh,-,1,0.065,0.065
Fjernvarme,MWh,-,"1,000.00",,
Fjernvarme,Gcal,-,"1,163.00",,
Fjernvarme,GJ,-,278,,
Fjernvarme,MJ,-,0.28,,
El,kWh,-,1,0.197,0.197
