"Classification_model","Feature_Engineering_method","Sampling_method","Classification_problem","recall","precision","f1_score","accuracy"
"SVM","TF-IDF bi-Gram","NoSampling","Heat pump",0.98,0.9896,0.9836,0.9959
"SVM","TF-IDF bi-Gram","Oversample","Heat pump",0.98,0.9896,0.9836,0.9959
"Logistic Regression","TF-IDF bi-Gram","SMOTE","Heat pump",0.984,0.9706,0.98,0.9943
"Logistic Regression","TF-IDF bi-Gram","NoSampling","Heat pump",0.97,0.9856,0.9787,0.9947
"Logistic Regression","TF-IDF bi-Gram","Oversample","Heat pump",0.9862,0.9673,0.9766,0.99
"SVM","TF-IDF bi-Gram","Undersample","Heat pump",0.9904,0.9429,0.97,0.9913
"Logistic Regression","Bag of words","Oversample","Heat pump",0.9759,0.9389,0.96,0.989
"SVM","Bag of words","Oversample","Heat pump",0.9702,0.946,0.96,0.9893
"SVM","Bag of words","NoSampling","Heat pump",0.96,0.9616,0.96,0.9901
"Logistic Regression","Bag of words","NoSampling","Heat pump",0.9549,0.9638,0.9593,0.9899
"SVM","TF-IDF uni-Gram","NoSampling","Heat pump",0.95,0.96,0.9582,0.9896
"Logistic Regression","TF-IDF uni-Gram","NoSampling","Heat pump",0.9482,0.9625,0.9553,0.9889
"Logistic Regression","Bag of words","SMOTE","Heat pump",0.961,0.9492,0.955,0.9886
"SVM","TF-IDF uni-Gram","Oversample","Heat pump",0.9709,0.9395,0.955,0.9885
"Logistic Regression","TF-IDF uni-Gram","SMOTE","Heat pump",0.9684,0.9365,0.9522,0.9878
"Logistic Regression","TF-IDF uni-Gram","Oversample","Heat pump",0.9748,0.9305,0.9521,0.9877
"SVM","TF-IDF uni-Gram","SMOTE","Heat pump",0.97,0.9378,0.95,0.9881
"Logistic Regression","TF-IDF bi-Gram","Undersample","Heat pump",0.9894,0.9108,0.9484,0.99
"Logistic Regression","Bag of words","Undersample","Heat pump",0.983,0.8929,0.94,0.9831
"SVM","word2vec","NoSampling","Heat pump",0.9247,0.9504,0.9374,0.9845
"SVM","Bag of words","Undersample","Heat pump",0.98,0.8929,0.9354,0.983
"Logistic Regression","word2vec","NoSampling","Heat pump",0.9137,0.9509,0.9319,0.9833
"SVM","TF-IDF uni-Gram","Undersample","Heat pump",0.98,0.8782,0.93,0.9805
"Logistic Regression","TF-IDF uni-Gram","Undersample","Heat pump",0.9794,0.8701,0.9215,0.9791
"SVM","fasttext","NoSampling","Heat pump",0.8917,0.9239,0.91,0.9772
"SVM","word2vec","SMOTE","Heat pump",0.961,0.8596,0.9075,0.9754
"Logistic Regression","word2vec","SMOTE","Heat pump",0.96,0.8499,0.9036,0.9742
"SVM","word2vec","Oversample","Heat pump",0.9656,0.8328,0.8943,0.9714
"Logistic Regression","word2vec","Oversample","Heat pump",0.9684,0.8294,0.8935,0.9711
"Naive Bayes","TF-IDF bi-Gram","NoSampling","Heat pump",0.87,0.9,0.887,0.9721
"Naive Bayes","TF-IDF uni-Gram","NoSampling","Heat pump",0.8868,0.8743,0.8805,0.97
"SVM","word2vec","Undersample","Heat pump",0.96,0.8096,0.8803,0.9671
"SVM","fasttext","SMOTE","Heat pump",0.9581,0.8052,0.875,0.9657
"Logistic Regression","word2vec","Undersample","Heat pump",0.9634,0.8,0.8731,0.9649
"SVM","fasttext","Oversample","Heat pump",0.9624,0.7824,0.8631,0.9617
"Logistic Regression","fasttext","NoSampling","Heat pump",0.8275,0.9017,0.863,0.9671
"Logistic Regression","fasttext","SMOTE","Heat pump",0.9485,0.7749,0.853,0.959
"SVM","fasttext","Undersample","Heat pump",0.9606,0.7527,0.844,0.9555
"Logistic Regression","fasttext","Oversample","Heat pump",0.9553,0.75,0.84,0.96
"Logistic Regression","fasttext","Undersample","Heat pump",0.9432,0.6974,0.8019,0.94
"Naive Bayes","TF-IDF bi-Gram","SMOTE","Heat pump",0.9688,0.68,0.8,0.9389
"Naive Bayes","TF-IDF bi-Gram","Oversample","Heat pump",0.97,0.6531,0.7821,0.9319
"Naive Bayes","TF-IDF bi-Gram","Undersample","Heat pump",0.9787,0.6373,0.7719,0.9275
"Naive Bayes","TF-IDF uni-Gram","SMOTE","Heat pump",0.96,0.5882,0.7301,0.9108
"Naive Bayes","TF-IDF uni-Gram","Oversample","Heat pump",0.9673,0.5486,0.7002,0.8961
"Naive Bayes","TF-IDF uni-Gram","Undersample","Heat pump",0.973,0.5231,0.6804,0.8854
"Naive Bayes","Bag of words","SMOTE","Heat pump",0.9766,0.2993,0.4582,0.7104
"Naive Bayes","Bag of words","NoSampling","Heat pump",0.989,0.2572,0.4082,0.64
"Naive Bayes","Bag of words","Oversample","Heat pump",0.9886,0.2549,0.4054,0.6363
"Naive Bayes","Bag of words","Undersample","Heat pump",0.9911,0.2445,0.3923,0.6149
