"Classification_model","Feature_Engineering_method","Sampling_method","Classification_problem","recall","precision","f1_score","accuracy"
"SVM","TF-IDF bi-Gram","NoSampling","Solarcells",0.9871,0.9876,0.9873,0.9886
"SVM","TF-IDF bi-Gram","Oversample","Solarcells",0.9869,0.9875,0.9872,0.9885
"Logistic Regression","TF-IDF bi-Gram","Oversample","Solarcells",0.9875,0.984,0.9857,0.9881
"Logistic Regression","TF-IDF bi-Gram","SMOTE","Solarcells",0.9869,0.9843,0.9856,0.9881
"Logistic Regression","TF-IDF bi-Gram","NoSampling","Solarcells",0.9845,0.9861,0.9853,0.9881
"SVM","Bag of words","NoSampling","Solarcells",0.9843,0.9829,0.9836,0.9877
"Logistic Regression","Bag of words","NoSampling","Solarcells",0.9659,0.9644,0.9652,0.9694
"Logistic Regression","Bag of words","Oversample","Solarcells",0.9659,0.9633,0.9646,0.9693
"SVM","word2vec","NoSampling","Solarcells",0.9649,0.9638,0.9644,0.9692
"SVM","TF-IDF bi-Gram","Undersample","Solarcells",0.9691,0.9591,0.9641,0.9691
"SVM","TF-IDF uni-Gram","NoSampling","Solarcells",0.9643,0.9638,0.9641,0.9691
"SVM","Bag of words","Oversample","Solarcells",0.967,0.9609,0.964,0.9691
"SVM","TF-IDF uni-Gram","Oversample","Solarcells",0.9646,0.9628,0.9637,0.9691
"SVM","TF-IDF uni-Gram","SMOTE","Solarcells",0.9641,0.9633,0.9637,0.9691
"SVM","word2vec","SMOTE","Solarcells",0.967,0.9599,0.9634,0.969
"Logistic Regression","TF-IDF uni-Gram","NoSampling","Solarcells",0.9638,0.9628,0.9633,0.969
"SVM","word2vec","Oversample","Solarcells",0.9681,0.957,0.9625,0.9688
"Logistic Regression","word2vec","NoSampling","Solarcells",0.9633,0.9612,0.9622,0.9688
"Logistic Regression","Bag of words","SMOTE","Solarcells",0.9603,0.9582,0.9592,0.9658
"Logistic Regression","TF-IDF uni-Gram","Oversample","Solarcells",0.9667,0.9539,0.9603,0.9683
"Logistic Regression","TF-IDF uni-Gram","SMOTE","Solarcells",0.9662,0.9542,0.9602,0.9683
"Logistic Regression","word2vec","SMOTE","Solarcells",0.9673,0.9503,0.9587,0.968
"SVM","word2vec","Undersample","Solarcells",0.9683,0.9473,0.9577,0.9678
"Logistic Regression","TF-IDF bi-Gram","Undersample","Solarcells",0.9683,0.9455,0.9568,0.9676
"Logistic Regression","word2vec","Oversample","Solarcells",0.9675,0.9462,0.9568,0.9676
"SVM","fasttext","NoSampling","Solarcells",0.9574,0.9535,0.9555,0.9673
"SVM","Bag of words","Undersample","Solarcells",0.9683,0.9412,0.9546,0.9671
"Logistic Regression","Bag of words","Undersample","Solarcells",0.9678,0.9417,0.9546,0.9671
"SVM","TF-IDF uni-Gram","Undersample","Solarcells",0.9681,0.9409,0.9543,0.9671
"SVM","fasttext","SMOTE","Solarcells",0.9665,0.9359,0.9509,0.9664
"Logistic Regression","TF-IDF uni-Gram","Undersample","Solarcells",0.967,0.9347,0.9506,0.9663
"SVM","fasttext","Oversample","Solarcells",0.9665,0.9329,0.9494,0.966
"Logistic Regression","word2vec","Undersample","Solarcells",0.9673,0.928,0.9472,0.9655
"Naive Bayes","TF-IDF bi-Gram","NoSampling","Solarcells",0.9636,0.9281,0.9455,0.9652
"Naive Bayes","TF-IDF bi-Gram","SMOTE","Solarcells",0.9641,0.9206,0.9418,0.9644
"Naive Bayes","TF-IDF bi-Gram","Oversample","Solarcells",0.9641,0.9199,0.9414,0.9643
"SVM","fasttext","Undersample","Solarcells",0.9646,0.916,0.9397,0.9639
"Logistic Regression","fasttext","NoSampling","Solarcells",0.9407,0.9386,0.9396,0.9641
"Naive Bayes","Bag of words","NoSampling","Solarcells",0.9601,0.9158,0.9374,0.9634
"Naive Bayes","TF-IDF bi-Gram","Undersample","Solarcells",0.9657,0.9064,0.9351,0.9629
"Logistic Regression","fasttext","SMOTE","Solarcells",0.9606,0.908,0.9335,0.9626
"Logistic Regression","fasttext","Oversample","Solarcells",0.9622,0.9064,0.9335,0.9626
"Naive Bayes","Bag of words","Oversample","Solarcells",0.9604,0.8892,0.9234,0.9603
"Naive Bayes","Bag of words","Undersample","Solarcells",0.9612,0.8868,0.9225,0.9601
"Logistic Regression","fasttext","Undersample","Solarcells",0.9598,0.886,0.9214,0.9599
"Naive Bayes","Bag of words","SMOTE","Solarcells",0.9529,0.8911,0.921,0.9598
"Naive Bayes","TF-IDF uni-Gram","NoSampling","Solarcells",0.922,0.914,0.918,0.9595
"Naive Bayes","TF-IDF uni-Gram","Oversample","Solarcells",0.962,0.877,0.9175,0.959
"Naive Bayes","TF-IDF uni-Gram","SMOTE","Solarcells",0.9617,0.8772,0.9175,0.959
"Naive Bayes","TF-IDF uni-Gram","Undersample","Solarcells",0.9628,0.8716,0.9149,0.9584
