"Category_type","Control_variable","Cross_reference"
"Property Characteristics","Living space","See Table housing data summary"
"Property Characteristics","Number of rooms","See Table housing data summary"
"Property Characteristics","Number of Bathrooms","See Table housing data summary"
"Property Characteristics","Number of Toilets","See Table housing data summary"
"Property Characteristics","Property Type","See Table housing data summary"
"Property Characteristics","Basement Exists","See Table housing data summary"
"Property Characteristics","Buisness exists in building","See Table housing data summary"
"Property Characteristics","Built-in Outhouse","See Table housing data summary"
"Property Characteristics","Detached Outhouse","See Table housing data summary"
"Property Characteristics","Built-in Carport","See Table housing data summary"
"Property Characteristics","Detached Carport","See Table housing data summary"
"Property Characteristics","Built-in Conservatory","See Table housing data summary"
"Property Characteristics","Detached Conservatory","See Table housing data summary"
"Property Characteristics","Greenhouse Exists","See Table housing data summary"
"Property Characteristics","Swimming pool Exists","See Table housing data summary"
"Property Characteristics","Number of floors in building","See Table housing data summary"
"Property quality indicator","Construction Period","See Table housing data summary"
"Property quality indicator","Wall material","See Table housing data summary"
"Property quality indicator","Roof material","See Table housing data summary"
"Property quality indicator","Building last renovation","See Table housing data summary"
"Property quality indicator","Boiler","See Table EPC data summary"
"Property quality indicator","Wood Stove","See Table EPC data summary"
"Property quality indicator","Oil Stove","See Table EPC data summary"
"Property quality indicator","Masonary heater","See Table EPC data summary"
"Property quality indicator","Fireplace","See Table EPC data summary"
"Geographical control","Isochrone radius","See Table EPC data summary"
"Geographical control","Distance to capital","See Table EPC data summary"
"Geographical control","Average population density","See Table EPC data summary"
"Geographical control","Forest buffer","See Table EPC data summary"
"Geographical control","Park buffer","See Table EPC data summary"
"Geographical control","Nature reserve buffer","See Table EPC data summary"
"Geographical control","Wetland buffer","See Table EPC data summary"
"Geographical control","Ocean or beach buffer","See Table EPC data summary"
"Geographical control","River, stream or canal buffer","See Table EPC data summary"
"Geographical control","Meadow, scrub or heath buffer","See Table EPC data summary"
"Geographical control","Rail- or light railway buffer","See Table EPC data summary"
"Geographical control","Water or reservoir buffer","See Table EPC data summary"
