"Category_type","Control_variable","Model_1","Model_2","Model_3"
"Property Characteristics","Living space","YES","YES","YES"
"Property Characteristics","Number of rooms","YES","YES","YES"
"Property Characteristics","Number of Bathrooms","YES","YES","YES"
"Property Characteristics","Number of Toilets","YES","YES","YES"
"Property Characteristics","Property Type","YES","YES","YES"
"Property Characteristics","Basement Exists","NO","NO","YES"
"Property Characteristics","Buisness exists in building","NO","NO","YES"
"Property Characteristics","Built-in Outhouse","NO","NO","YES"
"Property Characteristics","Detached Outhouse","NO","NO","YES"
"Property Characteristics","Built-in Carport","NO","NO","YES"
"Property Characteristics","Detached Carport","NO","NO","YES"
"Property Characteristics","Built-in Conservatory","NO","NO","YES"
"Property Characteristics","Detached Conservatory","NO","NO","YES"
"Property Characteristics","Greenhouse Exists","NO","NO","YES"
"Property Characteristics","Swimming pool Exists","NO","NO","YES"
"Property Characteristics","Number of floors in building","YES","YES","YES"
"Property Characteristics","Sold before built","YES","YES","YES"
"Property quality indicator","Construction Period","YES","YES","YES"
"Property quality indicator","Wall material","NO","YES","YES"
"Property quality indicator","Roof material","NO","YES","YES"
"Property quality indicator","Building last renovation","NO","YES","YES"
"Property quality indicator","Boiler","NO","YES","YES"
"Property quality indicator","Wood Stove","NO","YES","YES"
"Property quality indicator","Oil Stove","NO","YES","YES"
"Property quality indicator","Masonary heater","NO","YES","YES"
"Property quality indicator","Fireplace","NO","YES","YES"
"Geographical control","Isochrone radius","NO","NO","NO"
"Geographical control","Distance to capital","NO","NO","NO"
"Geographical control","Average population density","NO","NO","NO"
"Geographical control","Forest buffer","NO","NO","NO"
"Geographical control","Park buffer","NO","NO","NO"
"Geographical control","Nature reserve buffer","NO","NO","NO"
"Geographical control","Wetland buffer","NO","NO","NO"
"Geographical control","Ocean or beach buffer","NO","NO","NO"
"Geographical control","River, stream or canal buffer","NO","NO","NO"
"Geographical control","Meadow, scrub or heath buffer","NO","NO","NO"
"Geographical control","Rail- or light railway buffer","NO","NO","NO"
"Geographical control","Water or resovoir buffer","NO","NO","NO"
